Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-04,1,ACLBSL,957.5,1.74,957.5,925.1,950.0,386,361758.0,1
2026-05-04,2,ADBL,305.5,-1.29,314.0,305.1,314.0,21066,6474763.6,1
2026-05-04,3,AHL,512.0,-4.12,535.0,500.0,535.0,7813,3969476.6,1
2026-05-04,4,AHPC,271.0,-2.17,280.0,271.0,275.0,115082,31393727.5,1
2026-05-04,5,AKJCL,351.0,-6.4,389.0,349.7,389.0,424809,151864138.5,1
2026-05-04,6,AKPL,261.9,-2.2,273.1,255.0,255.0,73485,19331497.3,1
2026-05-04,7,ALBSL,1109.9,-0.46,1135.0,1070.0,1070.0,2307,2550230.7,1
2026-05-04,8,ALICL,447.2,-0.73,454.7,445.0,450.0,18756,8381519.1,1
2026-05-04,9,ANLB,6000.1,-4.53,6100.0,6000.0,6100.0,213,1280184.5,1
2026-05-04,10,API,330.0,-1.46,341.0,329.0,341.0,142392,47145338.0,1
2026-05-04,11,AVYAN,1115.0,1.36,1158.7,1100.0,1100.0,10880,12169079.8,1
2026-05-04,12,BANDIPUR,801.0,-2.87,829.7,797.0,825.0,29428,23690608.1,1
2026-05-04,13,BARUN,335.0,-1.47,345.0,334.1,340.0,51703,17380522.8,1
2026-05-04,14,BBC,4750.0,-1.35,4830.0,4700.2,4730.2,459,2174771.2,1
2026-05-04,15,BEDC,358.0,-2.16,370.0,354.2,366.1,57202,20666016.9,1
2026-05-04,16,BFC,443.0,-1.34,451.0,441.0,451.0,9306,4155830.9,1
2026-05-04,17,BGWT,682.5,-3.19,710.0,682.5,710.0,3384,2342541.7,1
2026-05-04,18,BHCL,509.9,-1.75,529.0,502.0,510.0,11312,5757613.3,1
2026-05-04,19,BHDC,452.5,-0.57,460.0,452.1,456.0,104499,47640197.4,1
2026-05-04,20,BHL,214.1,-1.61,220.0,207.0,207.0,116715,25063781.8,1
2026-05-04,21,BHPL,511.0,-1.77,538.0,511.0,524.8,9253,4796042.6,1
2026-05-04,22,BJHL,960.0,-7.25,1064.9,950.0,1035.0,11405,11178372.3,1
2026-05-04,23,BNHC,325.0,-0.76,327.5,317.0,327.5,9491,3047455.4,1
2026-05-04,24,BNT,11406.0,-1.76,11500.2,11406.0,11500.2,131,1503075.0,1
2026-05-04,25,BPCL,664.8,-0.48,687.0,660.0,660.0,30420,20174426.1,1
2026-05-04,26,BUNGAL,560.0,-1.93,573.0,550.0,550.0,7211,4050679.2,1
2026-05-04,27,C30MF,10.0,-0.7,10.07,9.8,10.07,1608,15987.0,1
2026-05-04,28,CBBL,902.0,-0.11,915.5,901.0,901.0,9662,8735877.4,1
2026-05-04,29,CBLD88,1185.0,2.6,1189.6,1185.0,1189.6,30,35606.0,1
2026-05-04,30,CCBD88,1233.0,2.98,1233.0,1233.0,1233.0,50,61650.0,1
2026-05-04,31,CFCL,488.8,-0.85,500.0,480.0,488.1,8847,4308825.6,1
2026-05-04,32,CGH,805.1,-0.3,817.0,802.1,802.1,11678,9415502.6,1
2026-05-04,33,CHCL,471.9,-1.38,480.0,471.0,480.0,21695,10276456.4,1
2026-05-04,34,CHDC,2197.4,-2.81,2262.0,2195.2,2261.1,10682,23659902.5,1
2026-05-04,35,CHL,278.0,-1.77,285.0,275.0,283.0,38742,10743086.9,1
2026-05-04,36,CIT,1751.0,-0.85,1774.0,1746.0,1774.0,4117,7214715.3,1
2026-05-04,37,CITY,434.0,-3.12,450.0,434.0,450.0,21261,9284460.4,1
2026-05-04,38,CKHL,695.0,-0.57,695.0,681.0,681.0,336,230003.6,1
2026-05-04,39,CLI,450.0,-0.57,453.0,445.1,445.1,14901,6696050.4,1
2026-05-04,40,CMF2,9.8,-0.51,9.8,9.8,9.8,1000,9800.0,1
2026-05-04,41,CORBL,2098.0,-12.58,2300.0,2040.0,2300.0,41148,86856458.2,1
2026-05-04,42,CREST,1064.0,-4.33,1122.0,1055.1,1080.0,7276,7839853.5,1
2026-05-04,43,CSY,9.21,-1.18,9.35,9.1,9.2,4703,43317.05,1
2026-05-04,44,CYCL,1460.0,-2.01,1515.0,1455.0,1515.0,1148,1679770.4,1
2026-05-04,45,CZBIL,202.0,-1.22,206.9,200.1,204.5,49497,9955098.5,1
2026-05-04,46,DDBL,826.0,-0.36,832.0,822.0,829.0,1973,1630142.1,1
2026-05-04,47,DHEL,586.0,-2.22,602.5,586.0,598.7,12005,7110958.3,1
2026-05-04,48,DHPL,295.0,-1.67,304.0,291.0,304.0,3913,1148552.0,1
2026-05-04,49,DLBS,1265.0,-1.94,1300.0,1265.0,1270.5,1119,1430600.5,1
2026-05-04,50,DOLTI,360.0,-1.1,367.0,356.1,360.0,20062,7232358.6,1
2026-05-04,51,DORDI,273.1,-1.41,281.0,273.0,276.0,38548,10598855.5,1
2026-05-04,52,EBL,695.0,-0.29,701.0,686.0,700.0,21835,15097484.4,1
2026-05-04,53,EBLD86,1073.1,0.09,1075.0,1073.1,1075.0,101,108477.1,1
2026-05-04,54,EBLD91,1080.0,2.26,1080.0,1058.1,1058.1,125,133355.0,1
2026-05-04,55,EDBL,571.1,-1.14,579.0,569.6,577.7,7891,4516644.5,1
2026-05-04,56,EHPL,387.0,-1.12,399.0,386.0,392.0,17131,6649924.9,1
2026-05-04,57,ENL,884.0,-1.76,889.0,873.0,873.0,1290,1138842.6,1
2026-05-04,58,FMDBL,789.9,-0.64,807.0,780.0,785.0,11147,8775587.7,1
2026-05-04,59,FOWAD,1260.4,15.0,1260.4,1082.0,1100.0,8710,9592102.9,1
2026-05-04,60,GBBD85,1075.0,-2.27,1075.0,1075.0,1075.0,25,26875.0,1
2026-05-04,61,GBBL,413.0,-0.24,419.9,410.2,419.9,18835,7777887.0,1
2026-05-04,62,GBILD86/87,1086.0,0.56,1086.0,1085.0,1086.0,78,84698.0,1
2026-05-04,63,GBIME,229.0,-0.87,232.8,219.5,219.5,85181,19489648.5,1
2026-05-04,64,GBIMESY2,9.15,-0.54,9.18,9.0,9.0,13110,119973.5,1
2026-05-04,65,GBLBS,740.1,-1.32,750.0,740.1,750.0,2221,1651333.2,1
2026-05-04,66,GCIL,412.4,-0.63,420.0,409.0,415.0,12076,4966853.9,1
2026-05-04,67,GFCL,609.0,-1.81,620.0,603.0,620.0,5543,3388008.5,1
