Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-06-19,1,ACLBSL,950.6,0.0,960.0,938.0,938.0,688,654403.1
2026-06-19,2,ADBL,309.0,0.0,309.9,307.2,307.2,9697,2987368.8
2026-06-19,3,ADBLD83,1083.0,0.0,1083.0,1083.0,1083.0,50,54150.0
2026-06-19,4,AHL,470.0,0.0,477.6,454.0,454.0,3325,1567242.7
2026-06-19,5,AHPC,272.5,0.0,275.0,271.2,273.0,29888,8131757.6
2026-06-19,6,AKJCL,377.3,0.0,386.0,376.8,381.0,514715,195273153.0
2026-06-19,7,AKPL,263.2,0.0,267.9,260.1,260.1,27451,7236466.0
2026-06-19,8,ALBSL,1097.9,0.0,1101.8,1070.0,1070.0,15624,17022521.3
2026-06-19,9,ALICL,444.0,0.0,447.5,442.0,442.0,6231,2766515.0
2026-06-19,10,ANLB,5929.0,0.0,6933.0,5806.0,6933.0,913,5422453.8
2026-06-19,11,APHL,916.0,0.0,916.0,836.0,836.0,1380,1262412.0
2026-06-19,12,API,343.0,0.0,344.7,340.6,344.0,185863,63647117.7
2026-06-19,13,AVYAN,1043.1,0.0,1050.0,997.5,997.5,1685,1755489.5
2026-06-19,14,BANDIPUR,810.5,0.0,819.0,807.9,807.9,15587,12624230.0
2026-06-19,15,BARUN,333.9,0.0,336.2,332.0,335.0,14469,4821083.1
2026-06-19,16,BBC,4285.0,0.0,4300.0,4181.0,4285.0,496,2098780.4
2026-06-19,17,BEDC,360.0,0.0,364.0,357.5,363.9,54811,19723689.0
2026-06-19,18,BFC,499.0,0.0,508.0,496.0,504.0,26338,13200597.3
2026-06-19,19,BGWT,648.7,0.0,650.0,635.1,650.0,4132,2635296.6
2026-06-19,20,BHCL,547.6,0.0,556.0,510.2,510.2,32379,17731314.4
2026-06-19,21,BHDC,454.0,0.0,457.0,450.4,450.4,8107,3677631.5
2026-06-19,22,BHL,214.7,0.0,216.9,214.0,215.0,44369,9527182.2
2026-06-19,23,BHPL,523.9,0.0,548.6,515.1,548.6,3692,1922752.3
2026-06-19,24,BJHL,887.0,0.0,894.0,844.2,869.0,21008,18320428.2
2026-06-19,25,BNHC,325.7,0.0,327.0,321.4,321.4,437,141556.8
2026-06-19,26,BNL,15200.0,0.0,15200.0,14679.1,14679.1,20,298791.0
2026-06-19,27,BNT,11899.9,0.0,11899.9,11700.0,11740.0,57,671919.0
2026-06-19,28,BPCL,670.0,0.0,704.5,667.1,704.5,10718,7181438.1
2026-06-19,29,BUNGAL,777.4,0.0,843.6,754.8,843.6,148991,113992598.4
2026-06-19,30,C30MF,10.05,0.0,10.24,10.0,10.0,277200,2782119.0
2026-06-19,31,CBBL,912.5,0.0,913.0,910.0,911.0,11568,10548983.4
2026-06-19,32,CBLD88,1175.3,0.0,1180.0,1180.0,1180.0,17,20036.5
2026-06-19,33,CFCL,629.9,0.0,639.7,594.0,594.0,128671,80944962.2
2026-06-19,34,CGH,781.0,0.0,786.0,780.0,780.2,9319,7276888.4
