Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-06,1,ACLBSL,21.41,930.0,930.0,918.0,920.0,920.0,918.02,423,930.0,388321.1,9,-10.0,12.0,-1.08,1.31,0.22,964.18,966.18,1175.0,827.9
2026-08-06,2,ADBL,28.7,304.0,325.0,304.0,308.8,308.8,309.6,143216,320.0,44339877.65,610,-11.2,21.0,-3.5,6.91,-0.26,311.16,308.45,344.9,285.2
2026-08-06,3,AHL,24.1,410.4,420.0,410.4,413.1,413.1,414.51,248,415.0,102799.5,15,-1.9,9.6,-0.46,2.34,-0.34,494.24,523.74,699.0,405.0
2026-08-06,4,AHPC,27.51,270.0,270.0,267.3,268.0,268.0,268.15,28461,267.9,7631951.9,136,0.1,2.7,0.04,1.01,-0.06,280.55,278.63,323.3,250.1
2026-08-06,5,AKJCL,37.5,385.4,385.4,370.0,374.0,374.0,375.65,707966,367.1,265944335.9,1499,6.9,15.4,1.88,4.16,-0.44,378.56,321.35,461.4,172.9
2026-08-06,6,AKPL,35.34,263.9,263.9,257.0,258.0,258.0,258.26,61982,260.7,16007643.2,144,-2.7,6.9,-1.04,2.68,-0.1,270.04,262.77,317.0,227.5
2026-08-06,7,ALBSL,25.82,1066.0,1107.0,1066.0,1085.0,1085.0,1085.83,4393,1102.0,4770034.2,62,-17.0,41.0,-1.54,3.85,-0.08,1122.33,1120.2,1334.0,930.0
2026-08-06,8,ALICL,24.34,423.0,429.8,422.0,424.8,424.8,423.09,6022,425.1,2547833.3,87,-0.3,7.8,-0.07,1.85,0.4,452.49,458.45,509.0,413.4
2026-08-06,9,ANLB,32.6,5400.0,5560.0,5400.0,5524.0,5524.0,5469.44,1194,5544.0,6530505.7,33,-20.0,160.0,-0.36,2.96,0.99,6175.05,6166.29,7560.0,5400.0
2026-08-06,10,APHL,31.07,830.0,855.0,825.0,828.0,828.0,830.56,10218,830.3,8486689.5,242,-2.3,30.0,-0.28,3.64,-0.31,0.0,0.0,1053.4,299.7
2026-08-06,11,API,21.77,331.2,334.0,330.2,331.9,331.9,332.29,102691,332.0,34123576.6,294,-0.1,3.8,-0.03,1.15,-0.12,337.16,320.86,370.0,258.8
