Date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount,Page
2026-07-27,1,2026072705011775,AHL,71,21,190,420.0,79800.0,1
2026-07-27,2,2026072705011774,AHL,40,21,100,420.0,42000.0,1
2026-07-27,3,2026072705011773,AHL,80,21,210,420.0,88200.0,1
2026-07-27,4,2026072705011604,AHL,80,34,10,420.0,4200.0,1
2026-07-27,5,2026072705011603,AHL,58,34,90,421.0,37890.0,1
2026-07-27,6,2026072705011931,BBC,45,13,10,4265.0,42650.0,1
2026-07-27,7,2026072705011814,BEDC,51,56,22,325.4,7158.8,1
2026-07-27,8,2026072705011487,BEDC,51,43,107,325.4,34817.8,1
2026-07-27,9,2026072705011486,BEDC,11,43,193,325.4,62802.2,1
2026-07-27,10,2026072705011485,BEDC,14,43,200,325.5,65100.0,1
2026-07-27,11,2026072705011508,BGWT,18,42,50,588.0,29400.0,1
2026-07-27,12,2026072705011881,BHDC,22,38,11,438.1,4819.1,1
2026-07-27,13,2026072705011863,BHL,21,33,475,214.0,101650.0,1
2026-07-27,14,2026072705011862,BHL,21,58,200,214.0,42800.0,1
2026-07-27,15,2026072705011861,BHL,21,58,50,213.5,10675.0,1
2026-07-27,16,2026072705011833,BHL,49,58,720,213.0,153360.0,1
2026-07-27,17,2026072705011803,BHL,26,58,100,213.0,21300.0,1
2026-07-27,18,2026072705011802,BHL,26,49,100,213.0,21300.0,1
2026-07-27,19,2026072705011498,BHL,58,26,100,212.0,21200.0,1
2026-07-27,20,2026072705011493,BHL,58,64,50,212.0,10600.0,1
2026-07-27,21,2026072705011673,BHL,19,58,200,212.5,42500.0,1
2026-07-27,22,2026072705011633,BHL,39,1,200,212.4,42480.0,1
2026-07-27,23,2026072705011630,BHL,56,17,147,212.0,31164.0,1
2026-07-27,24,2026072705011629,BHL,36,17,500,212.0,106000.0,1
2026-07-27,25,2026072705011628,BHL,57,17,297,212.0,62964.0,1
2026-07-27,26,2026072705011627,BHL,58,17,56,212.0,11872.0,1
2026-07-27,27,2026072705011955,BHPL,59,42,94,480.1,45129.4,1
2026-07-27,28,2026072705011954,BHPL,40,42,100,480.2,48020.0,1
2026-07-27,29,2026072705011953,BHPL,44,42,93,480.2,44658.6,1
2026-07-27,30,2026072705011952,BHPL,34,42,120,480.2,57624.0,1
2026-07-27,31,2026072705011951,BHPL,38,42,50,480.3,24015.0,1
2026-07-27,32,2026072705011580,BHPL,34,36,10,484.0,4840.0,1
2026-07-27,33,2026072705011967,BNHC,45,32,20,289.9,5798.0,1
2026-07-27,34,2026072705011966,BNHC,45,57,190,286.7,54473.0,1
2026-07-27,35,2026072705011960,BNHC,65,57,10,286.7,2867.0,1
2026-07-27,36,2026072705011911,BNHC,35,32,20,289.9,5798.0,1
2026-07-27,37,2026072705011765,BNHC,45,41,20,286.6,5732.0,1
2026-07-27,38,2026072705011764,BNHC,43,41,20,286.7,5734.0,1
2026-07-27,39,2026072705011763,BNHC,65,41,10,286.7,2867.0,1
2026-07-27,40,2026072705011482,BNHC,45,6,10,286.6,2866.0,1
2026-07-27,41,2026072705011965,CHDC,101,50,330,2300.0,759000.0,1
2026-07-27,42,2026072705011964,CHDC,19,50,20,2300.1,46002.0,1
2026-07-27,43,2026072705011963,CHDC,4,50,50,2300.2,115010.0,1
2026-07-27,44,2026072705011962,CHDC,41,50,80,2305.0,184400.0,1
2026-07-27,45,2026072705011961,CHDC,4,50,20,2307.0,46140.0,1
2026-07-27,46,2026072705011950,CHDC,59,53,10,2314.0,23140.0,1
2026-07-27,47,2026072705011631,CHDC,83,50,164,2305.0,378020.0,1
2026-07-27,48,2026072705011583,CHDC,21,50,28,2305.0,64540.0,1
2026-07-27,49,2026072705011575,CHDC,21,66,47,2305.0,108335.0,1
2026-07-27,50,2026072705011567,CHDC,101,26,50,2300.0,115000.0,1
2026-07-27,51,2026072705011526,CHDC,38,66,10,2305.0,23050.0,1
2026-07-27,52,2026072705011772,CHDC,41,50,10,2305.0,23050.0,1
2026-07-27,53,2026072705011756,CHDC,41,26,10,2305.0,23050.0,1
